monolingual,Sub-task B
lekin actors प्रदर्शन baare kuch aapne,1
सुनो प्रतीक बेकार मानसिकता,1
विकाश कुमार झूठी बहन सहयोग होग। तभी तुझे मिर्ची फिर।,1
सिकंदर खाकी हाथ आया खाकी हाथ,1
जुटे कहानी pydha,1
छुड़ा curiousity,0
"""क्यूंकि मुख्य जाट है"" abey जाट nahee चुटिया चुटिया",1
बोलते ाचा holkin बोलता tuuu,1
बना आदमी निराशा दिखा लौंडा,0
आपने प्रतिक,1
खेद साम्यवादी कांग्रेस हिन्दू हिंदुस्तान खतरा,1
बड़े सिंह ऊपर कक्षा फिल्म मनोरंजन आईटी श्रेष्ठ। वैसे शहीद ज्यादा विजय प्रभावशाली लगा,1
tehir अच्छा bakhwas मस्त,1
ठीक टीशर्ट,1
आरे दीदी मेरे ट्रेलर देखा,1
लगता भारत सरे समलैंगिक,1
ाचा रहें भारत लड़किओं ज़िंदा mardet राना पैदा होंगी मैं हूँ larko मारो,0
श्वेताब,1
भोडिक,1
कहाँ उसकी पुराणी आदत,1
नीलकंठ श्री राम,1
प्रशांत कुमार सोमेश <हत्तपःयौतुबे4क्स9क्सफ्यूअ8> सबूत चाहिए तोह btadena तथा सीखने जरुरत कश्मीर सेना क्युकी मेरा चचेरा भारतीय सेना तथा उसकी प्रविष्टि कश्मीर,1
hrdk परमार देखा घाव,1
निधि चोपड़ा कुंआ तेरे तुम feminazi देश छोड़ना merko भोत पसंद मैं हूँ अंधराष्ट्रीवादी गर्व उत्पन्न वाली हूँ तेरे तुम नारीवादी गांड बांस दाल,0
नापसन्द yeeh लोग बड़े सिंह tattikhayali गीत रवि होंगे but महोदय आपने बड़े सिंह,1
100 देश कूड़ा होगा बॉलीवुड नमक कैंसर पैदा होगा,1
मिनट वीडियो देखो कैसे चुटिया 2018 2010-2011 घुसा,1
टिक टॉक,1
सौरभ बैंक मैनेजर फोन आया आपको केवाईसी पूरी करनी बताइए मैं करूं नंबर सारे कागजात बैंक मैनेजर पास जाकर केवाईसी पूरी जाए नंबर धरने बैठे नंबर हिंसा करूं नंबर इनमें उत्तर जरुर दीजिएगा nrc लेना देना है। सरकार सब्सिडी लेनी हूं कागज कैसा लेकर जाते कमाल सरकार सीधे मांगती आंदोलन,1
तोह दुसरो अनुपस्थित देखता हूँ तुमने मेरे तोह परोक्ष रूप खराब क्र naa,1
देखते वही वही rxn असली दवाओं करे कहाँ नहीं। च***ीा लगेगा प्रेम lgega,1
शादी जरूर आना करो plss,1
